#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 10 07 00 304  4.4 99.0 99.00 99.00 99.00 999 1015.7  14.5 999.0 999.0 99.0 99.00
2007 01 10 08 00 311  3.4  4.3 99.00 99.00 99.00 999 1015.7  14.1  12.6 999.0 99.0 99.00
2007 01 10 10 00  49  2.0  2.5 99.00 99.00 99.00 999 9999.0 999.0  12.5 999.0 99.0 99.00
2007 01 10 11 00  69  3.4  4.2 99.00 99.00 99.00 999 1014.7  13.3  12.6 999.0 99.0 99.00
2007 01 10 12 00  85  5.0  5.9 99.00 99.00 99.00 999 1013.9  12.5  12.6 999.0 99.0 99.00
2007 01 10 14 00  71  4.3 99.0 99.00 99.00 99.00 999 1013.7  13.4 999.0 999.0 99.0 99.00
2007 01 10 15 00  79  4.7  5.5 99.00 99.00 99.00 999 1013.7  13.3  12.2 999.0 99.0 99.00
2007 01 10 16 00  73  5.4  6.1  1.74 14.29  9.41 999 1013.7  13.6  12.2 999.0 99.0 99.00
2007 01 10 17 00  89  3.4  4.1 99.00 99.00 99.00 999 1014.0  13.4  12.2 999.0 99.0 99.00
2007 01 10 18 00  55  1.5  2.0  1.53 14.29  9.30 999 1014.8  13.4  12.2 999.0 99.0 99.00
2007 01 10 19 00   8  1.2  1.7  1.53 12.50  9.44 999 1015.0  13.6  12.5 999.0 99.0 99.00
2007 01 10 20 00 344  1.5  2.2  1.49 14.29  8.94 999 1014.2  13.6  12.5 999.0 99.0 99.00
2007 01 10 21 00 305  2.4  3.2  1.65 14.29  9.05 999 1013.3  12.7  12.6 999.0 99.0 99.00
2007 01 10 22 00 318  3.0  3.7  1.56 14.29  8.95 999 1012.6  12.9  12.6 999.0 99.0 99.00
2007 01 10 23 00 309  6.1  7.0  1.38 12.50  7.74 999 1012.5  11.5  12.6 999.0 99.0 99.00
2007 01 11 00 00 314  6.8  7.7  1.40 12.50  7.16 999 1012.5  12.1  12.9 999.0 99.0 99.00
2007 01 11 01 00 317  6.9  8.8  1.49 12.50  6.59 999 1012.6  12.4  13.1 999.0 99.0 99.00
2007 01 11 02 00 317 11.2 99.0 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2007 01 11 03 00 319 11.2 12.9 99.00 99.00 99.00 999 1013.2  11.8  12.9 999.0 99.0 99.00
2007 01 11 04 00 323 12.5 14.7  2.29 12.50  6.11 999 1013.2  11.7  12.5 999.0 99.0 99.00
2007 01 11 06 00 321 12.9 14.8 99.00 99.00 99.00 999 1014.4  11.1  12.5 999.0 99.0 99.00
2007 01 11 07 00 326 12.5 14.9  2.72  9.09  6.69 999 1014.7  10.9  12.5 999.0 99.0 99.00
2007 01 11 08 00 999 99.0 99.0 99.00 99.00 99.00 999 1014.6  10.5  12.5 999.0 99.0 99.00
