#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 07 17 00 331 10.3 12.2  2.99 12.50  8.15 999 1016.4  10.2  11.8 999.0 99.0 99.00
2008 01 07 18 00 327  9.4 99.0 99.00 99.00 99.00 999 1017.3  10.6 999.0 999.0 99.0 99.00
2008 01 07 21 00 313 11.3 99.0 99.00 99.00 99.00 999 1018.0  11.0 999.0 999.0 99.0 99.00
2008 01 07 23 00 313  9.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 08 00 00 311 11.2 13.2  2.84 14.29  7.91 999 1018.8  11.2  11.8 999.0 99.0 99.00
2008 01 08 01 00 322 12.3 14.6  2.93 12.50  7.35 999 1018.9  11.3  11.8 999.0 99.0 99.00
2008 01 08 02 00 999 99.0 12.8 99.00 99.00 99.00 999 1019.2  11.3  12.0 999.0 99.0 99.00
2008 01 08 03 00 320 11.7 99.0 99.00 99.00 99.00 999 9999.0  11.6 999.0 999.0 99.0 99.00
2008 01 08 04 00 322 11.4 13.4 99.00 99.00 99.00 999 1020.3  11.6  12.1 999.0 99.0 99.00
2008 01 08 05 00 320 11.5 13.5 99.00 99.00 99.00 999 1020.2  11.5  12.1 999.0 99.0 99.00
2008 01 08 06 00 319  9.3 99.0 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2008 01 08 07 00 321 10.7 12.5 99.00 99.00 99.00 999 1020.4  11.4  12.2 999.0 99.0 99.00
2008 01 08 13 00 332  4.7  6.0 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2008 01 08 14 00 330  4.6  5.4 99.00 99.00 99.00 999 1021.9  11.4  12.1 999.0 99.0 99.00
2008 01 08 15 00 334  5.3  6.3 99.00 99.00 99.00 999 1022.4  11.4  12.1 999.0 99.0 99.00
2008 01 08 16 00 337  3.0  3.9  2.82 11.11  9.48 999 1022.6  11.4  11.8 999.0 99.0 99.00
2008 01 08 17 00 295  3.1  4.0  2.88 12.50  9.55 999 1022.6  11.4  11.8 999.0 99.0 99.00
2008 01 08 18 00 291  3.0  3.9  2.63 14.29  9.45 999 1023.4  11.3  12.0 999.0 99.0 99.00
2008 01 08 19 00 305  6.3  7.6  2.61 11.11  9.13 999 1023.6  11.3  12.1 999.0 99.0 99.00
2008 01 08 20 00 311  4.8  5.9  2.55 12.50  9.11 999 1022.8  11.3  12.1 999.0 99.0 99.00
2008 01 08 21 00 305  5.5 99.0 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2008 01 08 22 00 295  7.1  8.2 99.00 99.00 99.00 999 1022.6  11.0  12.1 999.0 99.0 99.00
2008 01 08 23 00 295  3.9 99.0 99.00 99.00 99.00 999 1021.7  11.1 999.0 999.0 99.0 99.00
2008 01 09 00 00 297  4.0 99.0 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2008 01 09 01 00 291  2.5  3.2 99.00 99.00 99.00 999 1021.5  11.3  12.1 999.0 99.0 99.00
2008 01 09 03 00 235  2.6 99.0 99.00 99.00 99.00 999 1021.4  11.2 999.0 999.0 99.0 99.00
2008 01 09 04 00 241  4.0  4.7 99.00 99.00 99.00 999 1021.7  11.2  12.1 999.0 99.0 99.00
2008 01 09 06 00 211  0.6 99.0 99.00 99.00 99.00 999 1022.2  10.2 999.0 999.0 99.0 99.00
2008 01 09 07 00  90  1.5  2.3 99.00 99.00 99.00 999 1021.9  10.3  12.1 999.0 99.0 99.00
2008 01 09 09 00 155  1.7  2.2 99.00 99.00 99.00 999 9999.0 999.0  12.1 999.0 99.0 99.00
2008 01 09 10 00  80  2.5  3.2 99.00 99.00 99.00 999 1021.0  11.0  12.2 999.0 99.0 99.00
2008 01 09 11 00  56  4.5  5.3 99.00 99.00 99.00 999 1020.8  10.9  12.1 999.0 99.0 99.00
2008 01 09 13 00 343  1.3 99.0 99.00 99.00 99.00 999 1020.1  10.9 999.0 999.0 99.0 99.00
2008 01 09 14 00 320  5.9  7.6 99.00 99.00 99.00 999 1020.3  11.3  12.1 999.0 99.0 99.00
