DeployID,FieldID,Deployed,Recovered,Max of GPS_TagRecov,Max of TDR_TagRecov,ValidTDRFiles
329,LEH2014RTTR088A,2014-06-15 05:16,2014-06-16 20:49,1,1,LEH2014RTTR088_A10353_061614
330,LEH2014RTTR071A,2014-06-15 22:48,2014-06-15 22:48,0,0,
331,LEH2014RTTR079A,2014-06-16 00:00,2014-06-17 00:35,2,1,LEH2014RTTR079_A10319_061614
332,LEH2014RTTR014A,2014-07-15 00:00,2014-07-20 19:35,1,1,LEH2014RTTR014A_A10343_072014
333,LEH2014RTTR062A,2014-07-15 01:05,2014-07-21 02:34,1,6,
334,LEH2014RTTR004A,2014-07-15 03:12,2014-07-15 03:12,0,6,
335,LEH2014RTTR078A,2014-07-15 20:27,2014-07-17 19:53,1,1,LEH2014RTTR078A_A10361_071714
336,LEH2014RTTR105A,2014-07-15 21:05,2014-07-18 20:20,2,6,
337,LEH2014RTTR081A,2014-07-15 21:40,2014-07-15 21:40,0,0,
338,LEH2014RTTR072A,2014-07-15 22:07,2014-07-17 22:36,1,1,LEH2014RTTR072A_A10345_071714
339,LEH2014RFBO041A,2014-07-15 05:40,2014-07-20 06:55,1,1,LEH2014RFBO041A_A10315_071914
340,LEH2014BRBO005A,2014-05-16 18:12,2014-05-19 04:14,1,1,LEH_BRBO_005_10710_A10354_051814
341,LEH2014RFBO004A,2014-05-15 01:42,2014-05-17 16:50,1,1,LEH_RFBO_004_07121_A10363_051714
342,LEH2014RFBO006A,2014-05-15 02:15,2014-05-17 17:19,3,1,LEH_RFBO_006_07122_A10359_051714
343,LEH2014RFBO008A,2014-05-15 04:08,2014-05-18 17:00,1,1,LEH_RFBO_008_07123_A10360_051814
344,LEH2014RFBO010A,2014-05-15 04:40,2014-05-18 17:45,1,1,LEH_RFBO_010_07124_A10361_051814
345,LEH2014RFBO015A,2014-06-14 08:43,2014-06-17 17:39,1,1,LEH2014RFBO015_A10315_061714
346,LEH2014RFBO018A,2014-06-14 09:15,2014-06-17 07:52,1,1,LEH2014RFBO018_A10348_061614
347,LEH2014RFBO020A,2014-06-14 09:36,2014-06-16 18:08,1,1,LEH2014RFBO020_A10367_061614
348,LEH2014RFBO030A,2014-06-15 08:24,2014-06-18 17:24,1,1,LEH2014RFBO030_A10312_061814
349,LEH2014RFBO001A,2014-05-14 05:00,2014-05-18 00:58,1,1,LEH_RFBO_001_07131_A10366_051714
350,LEH2014RFBO002A,2014-05-14 05:32,2014-05-16 06:50,3,1,LEH_RFBO_002_07132_A10365_051514
351,LEH2014RFBO005A,2014-05-15 02:10,2014-05-17 05:55,1,1,LEH_RFBO_005_07133_A10362_051614
352,LEH2014RFBO007A,2014-05-15 04:07,2014-05-18 17:10,1,1,LEH_RFBO_007_07134_A10358_051814
