#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 09 03 00 252  4.0  5.2  1.47 11.43  7.66 293 1021.4  12.3  12.8 999.0 99.0 99.00
2008 01 09 04 00 275  5.7  6.8  1.53 11.43  7.84 286 1021.7  12.3  12.8 999.0 99.0 99.00
2008 01 09 05 00 281  4.2  5.1  1.37 10.81  7.47 287 1021.9  12.7  12.8 999.0 99.0 99.00
2008 01 09 06 00 272  5.9  6.9  1.37 11.43  7.44 286 1022.2  12.5  12.8 999.0 99.0 99.00
2008 01 09 07 00 270  5.7  7.0  1.23 12.12  7.07 280 1021.9  12.3  12.8 999.0 99.0 99.00
2008 01 09 08 00 260  5.2  6.2  1.39 11.43  7.64 280 1021.8  11.8  12.8 999.0 99.0 99.00
2008 01 09 09 00 264  2.3  3.0  1.37 12.12  7.77 279 1021.8  11.5  12.8 999.0 99.0 99.00
2008 01 09 10 00 304  1.0  1.6  1.24 11.43  8.29 283 1021.6  11.2  12.9 999.0 99.0 99.00
2008 01 09 11 00 262  1.9  2.4  1.18 11.43  8.36 288 1021.3  11.3  12.8 999.0 99.0 99.00
2008 01 09 12 00 221  1.9  2.8  1.06 11.43  8.32 284 1020.4  11.1  12.9 999.0 99.0 99.00
2008 01 09 13 00 333  1.7  2.1  1.20 11.43  8.64 281 1020.4  11.3  12.9 999.0 99.0 99.00
2008 01 09 14 00 297  2.0  2.6  1.22 10.81  8.58 286 1020.7  11.4  12.9 999.0 99.0 99.00
2008 01 09 15 00 195  0.3  1.2  1.14 12.12  8.50 286 1020.7  11.6  12.8 999.0 99.0 99.00
2008 01 09 16 00 101  2.0  3.3  1.13 12.12  8.56 287 1020.8  12.1  13.0 999.0 99.0 99.00
2008 01 09 17 00 120  3.9  4.9  1.24 10.81  8.30 286 1021.4  11.7  13.6 999.0 99.0 99.00
2008 01 09 18 00 140  2.3  3.0  1.15 11.43  7.51 282 1022.0  11.9  13.8 999.0 99.0 99.00
2008 01 09 19 00 187  2.7  3.2  1.10 10.00  7.14 286 1022.1  12.4  13.9 999.0 99.0 99.00
2008 01 09 20 00 227  2.0  2.9  1.16 10.00  7.62 288 1021.7  12.6  13.9 999.0 99.0 99.00
2008 01 09 21 00 230  2.1  3.2  1.15 10.00  7.53 291 1021.0  12.8  14.0 999.0 99.0 99.00
2008 01 09 22 00 266  3.6  5.0  1.18 12.90  7.26 283 1020.7  12.8  14.0 999.0 99.0 99.00
2008 01 09 23 00 224  3.4  4.1  1.20 10.00  7.17 278 1020.3  13.1  13.9 999.0 99.0 99.00
2008 01 10 00 00 165  4.1  4.8  1.30 10.81  6.89 257 1019.8  12.9  13.9 999.0 99.0 99.00
2008 01 10 01 00 110  1.8  2.6  1.40  9.09  6.66 281 1019.8  13.6  13.9 999.0 99.0 99.00
2008 01 10 02 00  80  4.4  5.4  1.48  9.09  6.27 261 1020.0  13.0  13.8 999.0 99.0 99.00
2008 01 10 03 00  79  3.8  4.9  1.60 10.81  6.26 269 1020.2  13.0  13.8 999.0 99.0 99.00
2008 01 10 04 00  83  3.5  4.4  1.65 10.00  6.41 264 1020.7  12.9  13.7 999.0 99.0 99.00
2008 01 10 05 00  84  3.2  4.3  1.74 19.05  6.78 270 1020.5  12.9  13.7 999.0 99.0 99.00
2008 01 10 06 00  54  2.3  3.0  1.72 19.05  7.23 270 1020.8  12.9  13.6 999.0 99.0 99.00
2008 01 10 07 00  44  1.4  2.2  1.74 19.05  7.36 256 1021.0  12.8  13.4 999.0 99.0 99.00
2008 01 10 08 00 315  2.2  3.0  1.86 19.05  8.11 285 1020.7  12.4  13.5 999.0 99.0 99.00
2008 01 10 09 00 146  0.3  0.8  1.78 19.05  7.98 282 1020.4  12.3  13.5 999.0 99.0 99.00
2008 01 10 10 00 175  1.6  2.2  1.66 19.05  7.48 295 1020.4  12.5  13.4 999.0 99.0 99.00
2008 01 10 11 00  98  2.4  3.3  1.80 19.05  7.83 278 1020.5  12.7  13.4 999.0 99.0 99.00
