#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 08 04 00 165  1.3  2.1  1.99 13.79  8.10 999 1025.5  13.6  13.5 999.0 99.0 99.00
2007 01 08 05 00 159  0.4  1.0  1.80 14.81  8.06 999 1025.3  13.6  13.5 999.0 99.0 99.00
2007 01 08 06 00 122  1.3  2.1  1.76 14.81  7.33 999 1025.4  13.9  13.5 999.0 99.0 99.00
2007 01 08 07 00 347  0.7  1.5  1.83 12.90  7.56 999 1025.1  14.0  13.4 999.0 99.0 99.00
2007 01 08 08 00 348  1.6  2.4  1.85 16.00  7.28 999 1024.5  13.6  13.4 999.0 99.0 99.00
2007 01 08 09 00 295  1.2  1.7  1.88 12.90  7.28 999 1024.1  13.6  13.3 999.0 99.0 99.00
2007 01 08 10 00 336  1.4  1.9  1.77 13.79  7.28 999 1023.8  13.3  13.3 999.0 99.0 99.00
2007 01 08 11 00 328  1.9  2.5  1.74 13.79  7.19 999 1023.2  13.6  13.3 999.0 99.0 99.00
2007 01 08 12 00 317  2.5  3.4  1.74 12.90  7.85 999 1022.8  13.6  13.3 999.0 99.0 99.00
2007 01 08 13 00 312  1.6  2.2  1.78 14.81  8.33 999 1022.6  13.6  13.3 999.0 99.0 99.00
2007 01 08 14 00 299  1.7  2.5  1.79 12.90  8.29 999 1022.7  13.8  13.3 999.0 99.0 99.00
2007 01 08 15 00 294  1.4  2.0  1.61 13.79  8.01 999 1023.0  14.1  13.3 999.0 99.0 99.00
2007 01 08 16 00   7  1.6  2.1  1.98 14.81  8.48 999 1023.2  14.0  13.3 999.0 99.0 99.00
2007 01 08 17 00 119  0.7  1.6  1.88 13.79  8.24 999 1023.6  14.7  13.3 999.0 99.0 99.00
2007 01 08 18 00  50  1.3  2.2  2.04 12.90  8.40 999 1023.8  14.4  13.3 999.0 99.0 99.00
2007 01 08 19 00  35  0.9  1.5  2.04 14.81  8.16 999 1023.3  14.8  13.5 999.0 99.0 99.00
2007 01 08 20 00 347  1.5  2.5  1.97 13.79  8.10 999 1022.0  15.5  13.8 999.0 99.0 99.00
2007 01 08 21 00 315  1.5  2.3  1.91 12.12  7.82 999 1020.7  15.7  13.9 999.0 99.0 99.00
2007 01 08 22 00 287  2.4  3.1  2.03 14.81  8.20 999 1019.7  16.2  14.1 999.0 99.0 99.00
2007 01 08 23 00 299  3.7  4.6  1.93 11.43  8.34 999 1019.2  16.0  13.9 999.0 99.0 99.00
2007 01 09 00 00 293  3.2  3.7  1.83 12.90  8.13 999 1019.3  16.0  13.7 999.0 99.0 99.00
2007 01 09 01 00 304  2.6  3.3  1.87 17.39  8.55 999 1019.5  16.0  13.6 999.0 99.0 99.00
2007 01 09 02 00  28  1.8  2.4  1.74 16.00  8.35 999 1019.7  15.3  13.6 999.0 99.0 99.00
2007 01 09 03 00 354  1.0  1.6  1.79 16.00  8.47 999 1019.8  16.3  13.5 999.0 99.0 99.00
2007 01 09 04 00 188  1.7  2.0  1.59 16.00  8.36 999 1019.6  14.6  13.6 999.0 99.0 99.00
2007 01 09 05 00 135  1.6  2.6  1.77 14.81  8.63 999 1019.5  15.6  13.5 999.0 99.0 99.00
2007 01 09 06 00 145  1.9  2.8  1.54 13.79  8.04 999 1019.2  15.9  13.4 999.0 99.0 99.00
2007 01 09 07 00 260  0.6  1.1  1.46 16.00  7.91 999 1019.1  16.0  13.5 999.0 99.0 99.00
2007 01 09 08 00 327  2.3  2.9  1.58 16.00  8.62 999 1018.8  14.9  13.4 999.0 99.0 99.00
2007 01 09 09 00 336  2.2  2.6  1.58 16.00  8.14 999 1018.2  14.7  13.5 999.0 99.0 99.00
2007 01 09 10 00 319  1.7  2.5  1.50 14.81  7.95 999 1018.2  14.9  13.6 999.0 99.0 99.00
2007 01 09 11 00 334  1.8  2.4  1.46 14.81  8.59 999 1018.1  15.4  13.5 999.0 99.0 99.00
2007 01 09 12 00   9  0.5  1.4  1.78 16.00  9.47 999 1017.7  15.3  13.4 999.0 99.0 99.00
2007 01 09 13 00  13  2.0  2.5  1.70 14.81  9.71 999 1017.5  14.6  13.4 999.0 99.0 99.00
2007 01 09 14 00  39  1.3  1.8  1.35 14.81  8.30 999 1017.6  14.2  13.4 999.0 99.0 99.00
2007 01 09 15 00  19  1.6  2.3  1.44 12.90  8.34 999 1017.8  14.5  13.5 999.0 99.0 99.00
2007 01 09 16 00  16  2.8  3.4  1.59 12.90  9.18 999 1018.2  15.5  13.8 999.0 99.0 99.00
2007 01 09 17 00  89  2.1  3.0  1.70 13.79  9.23 999 1018.8  15.6  13.8 999.0 99.0 99.00
2007 01 09 18 00  76  2.2  3.0  1.63 16.00  8.94 999 1019.1  16.3  13.9 999.0 99.0 99.00
2007 01 09 19 00  73  2.0  2.7  1.51 16.00  8.05 999 1018.9  17.3  14.2 999.0 99.0 99.00
2007 01 09 20 00  57  0.5  1.4  1.53 13.79  7.76 999 1018.1  18.1  14.4 999.0 99.0 99.00
2007 01 09 21 00  10  2.0  2.4  1.74 16.00  8.43 999 1016.8  17.7  14.7 999.0 99.0 99.00
2007 01 09 22 00 331  1.0  1.8  1.69 16.00  8.45 999 1015.9  17.8  14.8 999.0 99.0 99.00
2007 01 09 23 00 204  2.5  3.4  1.65 14.81  8.19 999 1015.6  16.9  15.0 999.0 99.0 99.00
2007 01 10 00 00 276  1.9  2.7  2.06 14.81  9.06 999 1015.6  16.5  14.9 999.0 99.0 99.00
